name,version,variant,arch,os,filename,date,size,checksum
nginx,1.26.3,,aarch64,linux,nginx-1.26.3-aarch64-linux,2025-05-06T16:43:58Z,5426824,sha1:bbd14e6711a52012ad4ecff6b37368b8a0dcdc40
nginx,1.26.3,,arm64,darwin,nginx-1.26.3-arm64-darwin,2025-05-06T16:43:58Z,6179416,sha1:3108314e9fd675d37bc12a9cb93d1eada3edeaf3
nginx,1.26.3,,ppc64le,linux,nginx-1.26.3-ppc64le-linux,2025-05-06T16:43:58Z,6148152,sha1:149138366e3ef6c4ac3315f654dc67dc952335e3
nginx,1.26.3,,x86_64,linux,nginx-1.26.3-x86_64-linux,2025-05-06T16:43:58Z,6285704,sha1:84252fe56bc83d0d258818137193a51085a3efe3
nginx,1.26.3,,x86_64,win32,nginx-1.26.3-x86_64-win32.exe,2025-05-06T16:43:58Z,4829184,sha1:3d4d249740f6bbc0e5a33cb43ffc0c525d7792c2
nginx,1.28.0,,aarch64,linux,nginx-1.28.0-aarch64-linux,2025-05-06T16:43:58Z,5427728,sha1:89d9bce9f9f664a3f9448beaf49da652252663d1
nginx,1.28.0,,arm64,darwin,nginx-1.28.0-arm64-darwin,2025-05-06T16:43:58Z,6212680,sha1:1eddf8d67fd7ad6ebbdf0bf997346c2faa1939c9
nginx,1.28.0,,ppc64le,linux,nginx-1.28.0-ppc64le-linux,2025-05-06T16:43:58Z,6149056,sha1:59a550709513daed6b4297f1ddb43230f2a7dc3d
nginx,1.28.0,,x86_64,linux,nginx-1.28.0-x86_64-linux,2025-05-06T16:43:58Z,6315240,sha1:51343649831c34a67daa2eb5d036e82a3d31e9cf
nginx,1.28.0,,x86_64,win32,nginx-1.28.0-x86_64-win32.exe,2025-05-06T16:43:58Z,4852736,sha1:d7283079a3f27e4880daefce3a4846101abd6ad6
njs,0.9.0,,aarch64,linux,njs-0.9.0-aarch64-linux,2025-05-06T16:43:57Z,4065648,sha1:efb541fa80527ed7dd4f47f0854cfa0c0f81f980
njs,0.9.0,,arm64,darwin,njs-0.9.0-arm64-darwin,2025-05-06T16:43:58Z,4551904,sha1:2127b287761d789986e15e0c029dcd2356a533bf
njs,0.9.0,debug,aarch64,linux,njs-0.9.0-debug-aarch64-linux,2025-05-06T16:43:58Z,16870160,sha1:2bcc94a353d32d9079e8966b6c6a9f2542750378
njs,0.9.0,debug,arm64,darwin,njs-0.9.0-debug-arm64-darwin,2025-05-06T16:43:58Z,5520256,sha1:ae814beb496905fc2ffe1c0a1d9ce9d07d2ee51d
njs,0.9.0,debug,ppc64le,linux,njs-0.9.0-debug-ppc64le-linux,2025-05-06T16:43:58Z,16413776,sha1:bb33cdf34acbc618c8483fb49dd238f690106815
njs,0.9.0,debug,x86_64,linux,njs-0.9.0-debug-x86_64-linux,2025-05-06T16:43:58Z,17310472,sha1:4466fea8fcd8259d08eee9d36b339efbcb5e4fd8
njs,0.9.0,,ppc64le,linux,njs-0.9.0-ppc64le-linux,2025-05-06T16:43:58Z,4524616,sha1:524c7cca9ccedf5602f63ad43a2eff896b6abf43
njs,0.9.0,,x86_64,linux,njs-0.9.0-x86_64-linux,2025-05-06T16:43:58Z,4908232,sha1:e67d4fbbac4be23bac7a27edb436224529f5e880